94
2 123 51 
2 171 42 
2 105 27 
2 18 36 
2 156 132 
2 135 69 
2 72 78 
2 54 24 
2 3 57 
2 240 129 
2 63 225 
2 246 111 
2 210 60 
2 90 48 
2 96 150 
2 141 201 
2 39 234 
2 228 231 
2 174 84 
2 117 120 
2 30 75 
2 12 237 
2 15 45 
2 159 183 
2 162 189 
2 192 140 
2 81 215 
2 180 87 
2 177 147 
2 6 93 
2 221 167 
2 102 66 
2 126 207 
2 33 200 
3 23 11 139 
3 204 9 214 
3 108 114 166 
3 218 8 74 
3 245 198 22 
3 144 195 5 
3 188 168 115 
3 224 99 187 
3 0 186 193 
3 116 21 148 
3 170 165 121 
3 243 213 62 
3 206 153 248 
3 138 216 208 
3 219 83 122 
3 222 101 88 
3 146 104 98 
3 47 95 236 
3 2 182 194 
3 161 185 155 
3 17 179 68 
3 239 149 197 
3 209 119 128 
3 77 110 154 
3 233 35 89 
3 230 191 41 
3 32 196 109 
3 86 34 164 
3 143 92 14 
3 1 203 127 
3 50 212 163 
3 100 176 190 
3 67 223 131 
3 152 13 145 
3 175 178 113 
3 217 227 169 
3 244 242 65 
3 151 94 31 
3 59 103 112 
3 205 26 181 
3 85 71 80 
3 56 220 49 
3 61 202 134 
3 184 4 64 
3 158 16 137 
3 226 238 211 
3 58 55 76 
3 97 20 241 
3 10 229 199 
3 73 142 38 
3 160 82 235 
3 25 91 40 
3 118 232 136 
3 107 53 173 
3 29 79 44 
3 46 37 28 
3 43 157 106 
3 125 130 247 
3 172 52 19 
4 7 133 124 70 
