45
2 48 9 
2 60 18 
2 57 75 
2 93 78 
2 6 69 
2 27 0 
2 21 114 
2 45 54 
2 81 51 
2 66 30 
2 72 108 
2 102 96 
2 87 36 
2 24 105 
2 90 35 
2 42 39 
3 117 14 76 
3 15 63 22 
3 65 119 95 
3 33 3 25 
3 99 113 37 
3 12 111 103 
3 86 5 71 
3 84 110 16 
3 26 38 104 
3 74 32 44 
3 53 17 107 
3 101 89 41 
3 83 92 98 
3 29 56 23 
3 47 100 40 
3 2 68 85 
3 116 43 91 
3 8 67 97 
3 106 4 115 
3 112 88 46 
3 80 55 1 
3 13 64 79 
3 77 118 59 
3 70 73 31 
3 7 62 82 
3 20 34 50 
3 52 28 109 
3 11 19 94 
4 61 10 49 58 
