95
2 36 48 
2 15 225 
2 228 102 
2 30 165 
2 3 135 
2 90 198 
2 186 144 
2 42 9 
2 201 189 
2 111 147 
2 120 243 
2 75 60 
2 222 6 
2 153 177 
2 141 210 
2 105 96 
2 246 216 
2 87 21 
2 204 93 
2 81 24 
2 129 207 
2 171 195 
2 159 117 
2 33 219 
2 234 84 
2 12 156 
2 168 237 
2 54 39 
2 213 69 
2 123 108 
2 240 132 
2 99 66 
2 150 192 
2 182 183 
2 126 176 
2 27 233 
2 18 140 
2 162 0 
3 45 63 50 
3 72 114 124 
3 164 51 217 
3 65 74 23 
3 78 174 40 
3 138 57 248 
3 231 180 35 
3 2 53 58 
3 59 47 161 
3 116 20 29 
3 128 152 239 
3 242 134 215 
3 125 71 56 
3 80 110 14 
3 86 79 185 
3 236 68 194 
3 28 197 170 
3 101 41 221 
3 158 95 209 
3 26 131 89 
3 83 100 179 
3 212 107 98 
3 52 119 143 
3 193 184 115 
3 173 206 46 
3 67 218 155 
3 157 169 62 
3 77 1 118 
3 203 113 19 
3 8 172 220 
3 122 22 224 
3 245 109 191 
3 34 188 205 
3 11 149 73 
3 139 200 70 
3 44 146 64 
3 232 137 244 
3 223 92 238 
3 167 154 7 
3 214 127 130 
3 208 151 5 
3 82 148 25 
3 55 61 133 
3 94 235 4 
3 145 43 190 
3 121 97 163 
3 91 32 13 
3 241 10 196 
3 106 88 142 
3 85 230 247 
3 17 76 160 
3 112 199 175 
3 104 227 38 
3 211 136 181 
4 31 103 202 16 
4 187 49 166 226 
3 178 37 229 
