192
2 436 10 
2 360 106 
2 368 2 
2 268 318 
2 286 357 
2 68 316 
2 290 418 
2 216 115 
2 303 223 
2 221 229 
2 84 94 
2 210 373 
2 192 111 
2 183 125 
2 35 157 
2 154 433 
2 103 23 
2 364 469 
2 17 490 
2 28 18 
2 482 442 
2 277 72 
2 144 263 
2 394 431 
2 465 401 
2 8 487 
2 351 246 
2 292 444 
2 498 343 
2 451 41 
2 471 328 
2 406 391 
2 148 274 
2 51 438 
2 383 322 
2 409 199 
2 12 402 
2 36 341 
2 309 98 
2 135 26 
2 119 336 
2 251 370 
2 398 280 
2 56 138 
2 62 141 
2 474 384 
2 49 422 
2 455 69 
2 163 428 
2 203 109 
2 266 89 
2 415 271 
2 332 324 
2 298 190 
2 214 497 
2 378 460 
2 347 307 
2 412 99 
2 448 44 
2 169 333 
2 257 161 
2 494 63 
2 45 100 
3 242 3 492 
3 243 206 228 
3 348 176 435 
3 90 241 408 
3 493 485 66 
3 197 227 54 
3 462 376 162 
3 209 195 9 
3 120 46 74 
3 179 30 349 
3 181 207 21 
3 380 234 443 
3 350 126 366 
3 237 32 247 
3 335 76 272 
3 346 423 340 
3 134 325 407 
3 235 187 38 
3 130 478 218 
3 308 389 293 
3 457 312 276 
3 178 150 472 
3 300 143 60 
3 133 461 191 
3 414 484 463 
3 284 254 404 
3 258 50 225 
3 164 151 342 
3 355 458 249 
3 83 226 182 
3 82 55 20 
3 265 231 429 
3 78 310 113 
3 282 167 193 
3 87 302 131 
3 43 75 250 
3 477 369 22 
3 338 388 121 
3 165 188 488 
3 92 137 374 
3 295 239 153 
3 411 273 327 
3 427 171 434 
3 270 128 6 
3 424 454 377 
3 410 129 213 
3 464 79 204 
3 57 294 71 
3 59 4 96 
3 390 252 330 
3 52 172 189 
3 24 173 110 
3 232 244 382 
3 58 261 481 
3 356 180 475 
3 117 314 496 
3 339 297 233 
3 397 296 439 
3 260 65 468 
3 395 27 256 
3 323 168 174 
3 405 200 149 
3 259 313 248 
3 80 61 447 
3 16 491 283 
3 354 122 37 
3 253 14 102 
3 73 108 166 
3 452 160 202 
3 159 140 385 
3 158 421 201 
3 175 375 403 
3 205 387 449 
3 124 441 456 
3 146 64 152 
3 81 281 400 
3 386 77 291 
3 279 425 170 
3 317 305 255 
3 139 39 320 
3 301 186 95 
3 420 212 331 
3 127 245 147 
3 219 473 479 
3 215 33 278 
3 353 445 500 
3 467 363 238 
3 499 230 145 
3 5 495 399 
3 185 217 40 
3 85 132 329 
3 446 344 352 
3 299 288 67 
3 466 417 42 
3 91 396 177 
3 13 19 483 
3 70 365 287 
3 476 198 413 
3 430 116 1 
3 222 358 381 
3 236 450 88 
3 224 440 184 
3 114 453 7 
3 486 31 196 
3 118 34 264 
3 97 104 371 
3 426 321 359 
3 25 361 267 
3 107 392 489 
3 459 208 311 
3 432 337 334 
3 211 86 11 
3 47 53 105 
3 416 93 156 
2 269 155 
3 306 367 112 
3 419 372 136 
3 48 123 480 
3 0 393 15 
3 142 240 262 
3 345 326 101 
2 315 220 
3 285 289 275 
2 437 470 
1 319 
1 29 
2 379 304 
1 194 
1 362 
